"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-04-01","2020-04-30",2020,4,450700,239,0,184.5,54.5,239,0,12.0923008653206,0.295392953929539
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-05-01","2020-05-31",2020,5,450700,256,0,186,70,256,0,15.5313956068338,0.376344086021505
"Ecuador","Santa Elena","EC-SE","2020-01-01","2020-01-31",2020,1,392600,116,0,111,5,116,0,1.27356087620988,0.045045045045045
"Ecuador","Santa Elena","EC-SE","2020-02-01","2020-02-29",2020,2,392600,113,0,107,6,113,0,1.52827305145186,0.0560747663551402
"Ecuador","Santa Elena","EC-SE","2020-03-01","2020-03-31",2020,3,392600,156,0,115.5,40.5,156,0,10.3158430973001,0.350649350649351
"Ecuador","Santa Elena","EC-SE","2020-04-01","2020-04-30",2020,4,392600,982,0,102,880,982,0,224.146714212939,8.62745098039216
"Ecuador","Santa Elena","EC-SE","2020-05-01","2020-05-31",2020,5,392600,310,0,100,210,310,0,53.4895568008151,2.1
"Ecuador","Tungurahua","EC-T","2020-01-01","2020-01-31",2020,1,584100,250,0,260,-10,250,0,-1.7120356103407,-0.0384615384615384
"Ecuador","Tungurahua","EC-T","2020-02-01","2020-02-29",2020,2,584100,235,0,219,16,235,0,2.73925697654511,0.0730593607305936
"Ecuador","Tungurahua","EC-T","2020-03-01","2020-03-31",2020,3,584100,215,0,241.5,-26.5,215,0,-4.53689436740284,-0.109730848861284
"Ecuador","Tungurahua","EC-T","2020-04-01","2020-04-30",2020,4,584100,260,0,208.5,51.5,260,0,8.81698339325458,0.247002398081535
"Ecuador","Tungurahua","EC-T","2020-05-01","2020-05-31",2020,5,584100,323,0,225.5,97.5,323,0,16.6923472008218,0.432372505543237
"Ecuador","Sucumbíos","EC-U","2020-01-01","2020-01-31",2020,1,225500,59,0,51.5,7.5,59,0,3.32594235033259,0.145631067961165
"Ecuador","Sucumbíos","EC-U","2020-02-01","2020-02-29",2020,2,225500,51,0,52.5,-1.5,51,0,-0.665188470066519,-0.0285714285714286
"Ecuador","Sucumbíos","EC-U","2020-03-01","2020-03-31",2020,3,225500,45,0,42.5,2.5,45,0,1.10864745011086,0.0588235294117647
"Ecuador","Sucumbíos","EC-U","2020-04-01","2020-04-30",2020,4,225500,50,0,56,-6,50,0,-2.66075388026608,-0.107142857142857
"Ecuador","Sucumbíos","EC-U","2020-05-01","2020-05-31",2020,5,225500,55,0,43.5,11.5,55,0,5.09977827050998,0.264367816091954
"Ecuador","Galápagos","EC-W","2020-01-01","2020-01-31",2020,1,32300,5,0,4,1,5,0,3.09597523219814,0.25
"Ecuador","Galápagos","EC-W","2020-02-01","2020-02-29",2020,2,32300,4,0,3.5,0.5,4,0,1.54798761609907,0.142857142857143
"Ecuador","Galápagos","EC-W","2020-03-01","2020-03-31",2020,3,32300,3,0,1,2,3,0,6.19195046439629,2
"Ecuador","Galápagos","EC-W","2020-04-01","2020-04-30",2020,4,32300,3,0,3.5,-0.5,3,0,-1.54798761609907,-0.142857142857143
