"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Italy","Veneto","5","2020-05-20","2020-05-26",2020,"21",4869591,920,66,853.778749999917,66.2212500000834,854,1.35534996676312,1.35989346949432,0.0775625418178771
"Italy","Veneto","5","2020-05-27","2020-06-02",2020,"22",4869591,914,35,850.378749999917,63.6212500000829,879,0.718746194495595,1.30650089504607,0.0748151926422069
"Italy","Veneto","5","2020-06-03","2020-06-09",2020,"23",4869591,858,40,862.77874999996,-4.77874999995993,818,0.82142422228068,-0.0981345250547721,-0.00553878963750576
"Italy","Veneto","5","2020-06-10","2020-06-16",2020,"24",4869591,819,21,849.378749999931,-30.378749999931,798,0.431247716697357,-0.623846027313813,-0.0357658465083256
"Italy","Veneto","5","2020-06-17","2020-06-23",2020,"25",4869591,871,22,825.578749999965,45.4212500000351,849,0.451783322254374,0.93275287390738,0.0550174650207955
"Italy","Veneto","5","2020-06-24","2020-06-30",2020,"26",4869591,938,8,840.578749999941,97.4212500000592,930,0.164284844456136,2.00060436287276,0.115897826348889
"Italy","Veneto","5","2020-07-01","2020-07-07",2020,"27",4869591,881,22,829.178749999951,51.8212500000488,859,0.451783322254374,1.06418074947257,0.0624970791883559
"Italy","Veneto","5","2020-07-08","2020-07-14",2020,"28",4869591,870,7,834.978749999927,35.0212500000725,863,0.143749238899119,0.719182576115171,0.0419426841701966
"Italy","Veneto","5","2020-07-15","2020-07-21",2020,"29",4869591,866,12,846.978749999932,19.0212500000682,854,0.246427266684204,0.390612887202811,0.0224577653218216
"Italy","Veneto","5","2020-07-22","2020-07-28",2020,"30",4869591,851,16,878.178749999949,-27.1787499999489,835,0.328569688912272,-0.558132089531726,-0.0309489952927584
"Italy","Veneto","5","2020-07-29","2020-08-04",2020,"31",4869591,943,8,851.378749999941,91.6212500000593,935,0.164284844456136,1.88149785064206,0.107615147782424
"Italy","Veneto","5","2020-08-05","2020-08-11",2020,"32",4869591,872,8,885.37874999995,-13.3787499999496,864,0.164284844456136,-0.274740732844906,-0.0151107647432812
"Italy","Veneto","5","2020-08-12","2020-08-18",2020,"33",4869591,939,13,852.77874999994,86.2212500000596,926,0.266962872241221,1.77060558063418,0.101106236523911
"Italy","Veneto","5","2020-08-19","2020-08-25",2020,"34",4869591,932,9,833.978749999956,98.0212500000441,923,0.184820450013153,2.01292572620666,0.11753446955339
"Italy","Friuli-Venezia Giulia","6","2020-01-01","2020-01-07",2020,"1",1215220,323,0,331.995833332746,-8.99583333274575,323,0,-0.740263765634679,-0.0270962235954618
"Italy","Friuli-Venezia Giulia","6","2020-01-08","2020-01-14",2020,"2",1215220,335,0,339.662499999236,-4.66249999923633,335,0,-0.383675383818266,-0.0137268612203196
"Italy","Friuli-Venezia Giulia","6","2020-01-15","2020-01-21",2020,"3",1215220,350,0,350.829166666197,-0.829166666196727,350,0,-0.0682318153253507,-0.00236344849567671
"Italy","Friuli-Venezia Giulia","6","2020-01-22","2020-01-28",2020,"4",1215220,357,0,339.995833332677,17.0041666673231,357,0,1.39926652518253,0.0500128678067799
"Italy","Friuli-Venezia Giulia","6","2020-01-29","2020-02-04",2020,"5",1215220,297,0,339.329166666079,-42.3291666660789,297,0,-3.48325131795715,-0.124743673177182
"Italy","Friuli-Venezia Giulia","6","2020-02-05","2020-02-11",2020,"6",1215220,310,0,318.662499999327,-8.66249999932728,310,0,-0.712833890104449,-0.0271839328422565
"Italy","Friuli-Venezia Giulia","6","2020-02-12","2020-02-18",2020,"7",1215220,307,0,323.495833332778,-16.4958333327776,307,0,-1.35743596490986,-0.0509924136049333
"Italy","Friuli-Venezia Giulia","6","2020-02-19","2020-02-25",2020,"8",1215220,318,0,323.66249999952,-5.6624999995197,318,0,-0.465965010411258,-0.0174950758877784
"Italy","Friuli-Venezia Giulia","6","2020-02-26","2020-03-03",2020,"9",1215220,305,0,309.394999999291,-4.39499999929109,305,0,-0.361662908715384,-0.0142051422915728
"Italy","Friuli-Venezia Giulia","6","2020-03-04","2020-03-10",2020,"10",1215220,315,3,313.394999999443,1.60500000055663,312,0.246868879709024,0.132074850690133,0.00512133250549462
"Italy","Friuli-Venezia Giulia","6","2020-03-11","2020-03-17",2020,"11",1215220,319,27,297.394999999376,21.6050000006241,292,2.22181991738121,1.77786738208918,0.0726474890319926
"Italy","Friuli-Venezia Giulia","6","2020-03-18","2020-03-24",2020,"12",1215220,363,34,284.994999999382,78.005000000618,329,2.79784730336894,6.41900232061832,0.273706556258135
"Italy","Friuli-Venezia Giulia","6","2020-03-25","2020-03-31",2020,"13",1215220,400,49,281.194999999377,118.805000000623,351,4.03219170191406,9.77641908466149,0.422500400081391
"Italy","Friuli-Venezia Giulia","6","2020-04-01","2020-04-07",2020,"14",1215220,344,51,268.394999999369,75.6050000006305,293,4.19677095505341,6.22150721685214,0.281693027071324
"Italy","Friuli-Venezia Giulia","6","2020-04-08","2020-04-14",2020,"15",1215220,354,42,278.794999999396,75.2050000006037,312,3.45616431592633,6.18859136622206,0.269750174862414
"Italy","Friuli-Venezia Giulia","6","2020-04-15","2020-04-21",2020,"16",1215220,344,35,255.594999999348,88.4050000006521,309,2.88013692993861,7.27481443694574,0.345879222992929
"Italy","Friuli-Venezia Giulia","6","2020-04-22","2020-04-28",2020,"17",1215220,302,37,258.994999999332,43.0050000006677,265,3.04471618307796,3.5388653906838,0.166045676560469
"Italy","Friuli-Venezia Giulia","6","2020-04-29","2020-05-05",2020,"18",1215220,254,25,262.594999999294,-8.5949999992938,229,2.05724066424187,-0.707279340308241,-0.0327310116312836
"Italy","Friuli-Venezia Giulia","6","2020-05-06","2020-05-12",2020,"19",1215220,268,10,256.794999999334,11.2050000006662,258,0.822896265696746,0.922055265768025,0.0436340271449804
