PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
POL,1,2000,7,b,60,5,598,O,O
POL,1,2000,7,b,65,5,848,O,O
POL,1,2000,7,b,70,5,1092,O,O
POL,1,2000,7,b,75,5,1226,O,O
POL,1,2000,7,b,80,5,857,O,O
POL,1,2000,7,b,85,5,994,O,O
POL,1,2000,7,b,90,+,592,O,O
POL,1,2000,7,b,TOT,.,7841,O,O
POL,1,2000,7,b,UNK,.,0,O,O
POL,1,2000,8,m,0,5,34,O,O
POL,1,2000,8,m,5,5,8,O,O
POL,1,2000,8,m,10,5,4,O,O
POL,1,2000,8,m,15,5,19,O,O
POL,1,2000,8,m,20,5,40,O,O
POL,1,2000,8,m,25,5,31,O,O
POL,1,2000,8,m,30,5,36,O,O
POL,1,2000,8,m,35,5,60,O,O
POL,1,2000,8,m,40,5,136,O,O
POL,1,2000,8,m,45,5,222,O,O
POL,1,2000,8,m,50,5,257,O,O
POL,1,2000,8,m,55,5,250,O,O
POL,1,2000,8,m,60,5,396,O,O
POL,1,2000,8,m,65,5,515,O,O
POL,1,2000,8,m,70,5,607,O,O
POL,1,2000,8,m,75,5,497,O,O
POL,1,2000,8,m,80,5,282,O,O
POL,1,2000,8,m,85,5,300,O,O
POL,1,2000,8,m,90,+,174,O,O
POL,1,2000,8,m,TOT,.,3868,O,O
POL,1,2000,8,m,UNK,.,0,O,O
POL,1,2000,8,f,0,5,28,O,O
POL,1,2000,8,f,5,5,1,O,O
POL,1,2000,8,f,10,5,4,O,O
POL,1,2000,8,f,15,5,7,O,O
POL,1,2000,8,f,20,5,9,O,O
POL,1,2000,8,f,25,5,14,O,O
POL,1,2000,8,f,30,5,6,O,O
POL,1,2000,8,f,35,5,22,O,O
POL,1,2000,8,f,40,5,51,O,O
POL,1,2000,8,f,45,5,89,O,O
POL,1,2000,8,f,50,5,126,O,O
POL,1,2000,8,f,55,5,113,O,O
POL,1,2000,8,f,60,5,189,O,O
POL,1,2000,8,f,65,5,287,O,O
POL,1,2000,8,f,70,5,515,O,O
POL,1,2000,8,f,75,5,683,O,O
POL,1,2000,8,f,80,5,507,O,O
POL,1,2000,8,f,85,5,598,O,O
