country,region,start_date,end_date,week,population,total_deaths
Norway,Norway,05/02/2020,11/02/2020,6,5367580,799
Norway,Norway,12/02/2020,18/02/2020,7,5367580,857
Norway,Norway,19/02/2020,25/02/2020,8,5367580,813
Norway,Norway,26/02/2020,03/03/2020,9,5367580,838
Norway,Norway,04/03/2020,10/03/2020,10,5367580,799
Norway,Norway,11/03/2020,17/03/2020,11,5367580,825
Norway,Norway,18/03/2020,24/03/2020,12,5367580,807
Norway,Norway,25/03/2020,31/03/2020,13,5367580,854
Norway,Norway,01/04/2020,07/04/2020,14,5367580,832
Norway,Norway,08/04/2020,14/04/2020,15,5367580,839
Norway,Norway,15/04/2020,21/04/2020,16,5367580,814
Norway,Norway,22/04/2020,28/04/2020,17,5367580,775
Norway,Norway,29/04/2020,05/05/2020,18,5367580,752
Norway,Norway,06/05/2020,12/05/2020,19,5367580,740
Norway,Norway,13/05/2020,19/05/2020,20,5367580,685
Norway,Norway,20/05/2020,26/05/2020,21,5367580,740
Norway,Norway,27/05/2020,02/06/2020,22,5367580,662
Norway,Norway,03/06/2020,09/06/2020,23,5367580,676
Norway,Norway,10/06/2020,16/06/2020,24,5367580,727
Norway,Norway,17/06/2020,23/06/2020,25,5367580,738
Norway,Norway,24/06/2020,30/06/2020,26,5367580,681
Norway,Norway,01/07/2020,07/07/2020,27,5367580,692
Norway,Norway,08/07/2020,14/07/2020,28,5367580,665
Norway,Norway,15/07/2020,21/07/2020,29,5367580,747
Norway,Norway,22/07/2020,28/07/2020,30,5367580,726
Norway,Norway,29/07/2020,04/08/2020,31,5367580,739
Norway,Norway,05/08/2020,11/08/2020,32,5367580,725
Norway,Norway,12/08/2020,18/08/2020,33,5367580,717
Norway,Norway,19/08/2020,25/08/2020,34,5367580,708
