country,region,region_code,start_date,end_date,year,week,population,total_deaths
Mexico,Mexico City,MX-CMX,28/05/2018,03/06/2018,2018,22,8918653,1416
Mexico,Mexico City,MX-CMX,04/06/2018,10/06/2018,2018,23,8918653,1386
Mexico,Mexico City,MX-CMX,11/06/2018,17/06/2018,2018,24,8918653,1333
Mexico,Mexico City,MX-CMX,18/06/2018,24/06/2018,2018,25,8918653,1399
Mexico,Mexico City,MX-CMX,25/06/2018,01/07/2018,2018,26,8918653,1386
Mexico,Mexico City,MX-CMX,02/07/2018,08/07/2018,2018,27,8918653,1286
Mexico,Mexico City,MX-CMX,09/07/2018,15/07/2018,2018,28,8918653,1366
Mexico,Mexico City,MX-CMX,16/07/2018,22/07/2018,2018,29,8918653,1369
Mexico,Mexico City,MX-CMX,23/07/2018,29/07/2018,2018,30,8918653,1361
Mexico,Mexico City,MX-CMX,30/07/2018,05/08/2018,2018,31,8918653,1315
Mexico,Mexico City,MX-CMX,06/08/2018,12/08/2018,2018,32,8918653,1397
Mexico,Mexico City,MX-CMX,13/08/2018,19/08/2018,2018,33,8918653,1369
Mexico,Mexico City,MX-CMX,20/08/2018,26/08/2018,2018,34,8918653,1319
Mexico,Mexico City,MX-CMX,27/08/2018,02/09/2018,2018,35,8918653,1324
Mexico,Mexico City,MX-CMX,03/09/2018,09/09/2018,2018,36,8918653,1399
Mexico,Mexico City,MX-CMX,10/09/2018,16/09/2018,2018,37,8918653,1393
Mexico,Mexico City,MX-CMX,17/09/2018,23/09/2018,2018,38,8918653,1397
Mexico,Mexico City,MX-CMX,24/09/2018,30/09/2018,2018,39,8918653,1354
Mexico,Mexico City,MX-CMX,01/10/2018,07/10/2018,2018,40,8918653,1323
Mexico,Mexico City,MX-CMX,08/10/2018,14/10/2018,2018,41,8918653,1441
Mexico,Mexico City,MX-CMX,15/10/2018,21/10/2018,2018,42,8918653,1403
Mexico,Mexico City,MX-CMX,22/10/2018,28/10/2018,2018,43,8918653,1495
Mexico,Mexico City,MX-CMX,29/10/2018,04/11/2018,2018,44,8918653,1420
Mexico,Mexico City,MX-CMX,05/11/2018,11/11/2018,2018,45,8918653,1455
Mexico,Mexico City,MX-CMX,12/11/2018,18/11/2018,2018,46,8918653,1519
Mexico,Mexico City,MX-CMX,19/11/2018,25/11/2018,2018,47,8918653,1538
Mexico,Mexico City,MX-CMX,26/11/2018,02/12/2018,2018,48,8918653,1563
Mexico,Mexico City,MX-CMX,03/12/2018,09/12/2018,2018,49,8918653,1608
Mexico,Mexico City,MX-CMX,10/12/2018,16/12/2018,2018,50,8918653,1556
Mexico,Mexico City,MX-CMX,17/12/2018,23/12/2018,2018,51,8918653,1708
Mexico,Mexico City,MX-CMX,24/12/2018,30/12/2018,2018,52,8918653,1876
Mexico,Mexico City,MX-CMX,31/12/2018,06/01/2019,2019,1,8918653,
Mexico,Mexico City,MX-CMX,07/01/2019,13/01/2019,2019,2,8918653,
Mexico,Mexico City,MX-CMX,14/01/2019,20/01/2019,2019,3,8918653,
Mexico,Mexico City,MX-CMX,21/01/2019,27/01/2019,2019,4,8918653,
Mexico,Mexico City,MX-CMX,28/01/2019,03/02/2019,2019,5,8918653,
Mexico,Mexico City,MX-CMX,04/02/2019,10/02/2019,2019,6,8918653,
Mexico,Mexico City,MX-CMX,11/02/2019,17/02/2019,2019,7,8918653,
Mexico,Mexico City,MX-CMX,18/02/2019,24/02/2019,2019,8,8918653,
Mexico,Mexico City,MX-CMX,25/02/2019,03/03/2019,2019,9,8918653,
Mexico,Mexico City,MX-CMX,04/03/2019,10/03/2019,2019,10,8918653,1498
Mexico,Mexico City,MX-CMX,11/03/2019,17/03/2019,2019,11,8918653,1495
Mexico,Mexico City,MX-CMX,18/03/2019,24/03/2019,2019,12,8918653,1484
Mexico,Mexico City,MX-CMX,25/03/2019,31/03/2019,2019,13,8918653,1519
Mexico,Mexico City,MX-CMX,01/04/2019,07/04/2019,2019,14,8918653,1466
Mexico,Mexico City,MX-CMX,08/04/2019,14/04/2019,2019,15,8918653,1489
Mexico,Mexico City,MX-CMX,15/04/2019,21/04/2019,2019,16,8918653,1468
Mexico,Mexico City,MX-CMX,22/04/2019,28/04/2019,2019,17,8918653,1377
Mexico,Mexico City,MX-CMX,29/04/2019,05/05/2019,2019,18,8918653,1379
Mexico,Mexico City,MX-CMX,06/05/2019,12/05/2019,2019,19,8918653,1463
