date,object_id,cod_istatn,nome_com,nome_pro,positivi,deceduti,totale
2020-04-09,248,03017173,SAN ZENO NAVIGLIO,BRESCIA,28,6,34
2020-04-09,249,03016175,PREMOLO,BERGAMO,10,5,15
2020-04-09,251,03017002,ADRO,BRESCIA,50,17,67
2020-04-09,252,03018085,MAGHERNO,PAVIA,2,5,7
2020-04-09,253,03020041,PIUBEGA,MANTOVA,5,3,8
2020-04-09,254,03013239,VERCANA,COMO,1,0,1
2020-04-09,255,03018117,PONTE NIZZA,PAVIA,10,2,12
2020-04-09,256,03015146,MILANO,MILANO,"4,323",656,"4,979"
2020-04-09,257,03016041,BRUMANO,BERGAMO,1,0,1
2020-04-09,258,03017064,CORZANO,BRESCIA,20,4,24
2020-04-09,259,03018039,CASTELLO D`AGOGNA,PAVIA,1,1,2
2020-04-09,260,03016183,ROMANO DI LOMBARDIA,BERGAMO,108,47,155
2020-04-09,261,03012022,BRISSAGO - VALTRAVAGLIA,VARESE,1,0,1
2020-04-09,262,03012010,BEDERO VALCUVIA,VARESE,1,0,1
2020-04-09,263,03019013,CAPPELLA CANTONE,CREMONA,8,2,10
2020-04-09,264,03098038,MELETI,LODI,13,5,18
2020-04-09,265,03016166,PIAZZOLO,BERGAMO,0,1,1
2020-04-09,270,03017199,VILLA CARCINA,BRESCIA,82,8,90
2020-04-09,271,03013228,UGGIATE - TREVANO,COMO,3,2,5
2020-04-09,266,03017060,COMEZZANO - CIZZAGO,BRESCIA,23,5,28
2020-04-09,267,03019037,CREMOSANO,CREMONA,7,5,12
2020-04-09,288,03015194,SAN GIORGIO SU LEGNANO,MILANO,12,3,15
2020-04-09,291,03015040,BUSSERO,MILANO,26,4,30
2020-04-09,294,03012054,COMABBIO,VARESE,1,0,1
2020-04-09,296,03015165,OZZERO,MILANO,7,2,9
2020-04-09,297,03016068,CENATE SOPRA,BERGAMO,14,6,20
2020-04-09,298,03018142,SANTA MARGHERITA DI STAFFORA,PAVIA,1,1,2
2020-04-09,299,03017081,GUSSAGO,BRESCIA,125,30,155
2020-04-09,300,03013161,NESSO,COMO,2,0,2
2020-04-09,301,03017190,TRENZANO,BRESCIA,35,9,44
2020-04-09,329,03108052,CAPONAGO,MONZA E DELLA BRIANZA,22,4,26
2020-04-09,330,03017132,PAITONE,BRESCIA,10,1,11
2020-04-09,338,03017030,BRIONE,BRESCIA,4,1,5
2020-04-09,339,03019070,PESSINA CREMONESE,CREMONA,2,0,2
2020-04-09,340,03012005,ARSAGO SEPRIO,VARESE,12,0,12
2020-04-09,341,03016011,ARCENE,BERGAMO,41,7,48
2020-04-09,589,03016253,VAL BREMBILLA,BERGAMO,33,9,42
2020-04-09,590,03019076,PIZZIGHETTONE,CREMONA,60,25,85
2020-04-09,302,03012039,CASORATE SEMPIONE,VARESE,8,1,9
